nom;enseigne;reseau;adresse;code_postal;ville;region;latitude;longitude;telephone;contact;ca_jrf;exercice;reference;libelle_excel
AD Delhaize Antoing;AD Delhaize;affilie;Rue du Burg;7640;Antoing;wallonie;;;;;;;ADD-001;AD DELHAIZE ANTOING
AD Delhaize Arbre Ballon;AD Delhaize;affilie;Avenue de lArbre Ballon 24;1090;Jette;bruxelles;;;;;;;ADD-002;AD DELHAIZE ARBRE BALLON
AD Delhaize Ath;AD Delhaize;affilie;Rue de lAbbaye 6;7800;Ath;wallonie;;;;;;;ADD-003;AD DELHAIZE ATH
AD Delhaize Aunoi -;AD Delhaize;affilie;Rue de Houdeng 212;7070;Le Rœulx;wallonie;;;;;;;ADD-004;AD DELHAIZE AUNOI -
AD Delhaize Aywaille;AD Delhaize;affilie;Dieupart 39;4920;Aywaille;wallonie;;;;;;;ADD-005;AD DELHAIZE AYWAILLE
AD Delhaize Barvaux;AD Delhaize;affilie;Petit Barvaux 6;6940;Barvaux;wallonie;;;;;;;ADD-006;AD DELHAIZE BARVAUX
AD Delhaize Bertrix;AD Delhaize;affilie;Route des Gohineaux 2;6880;Bertrix;wallonie;;;;;;;ADD-007;AD DELHAIZE BERTRIX
AD Delhaize Bouffioulx;AD Delhaize;affilie;Avenue Émile Vandervelde 260;6200;Bouffioulx;wallonie;;;;;;;ADD-008;AD DELHAIZE BOUFFIOULX
AD Delhaize Bouge;AD Delhaize;affilie;Chaussée de Louvain 336;5004;Bouge;wallonie;;;;;;;ADD-009;AD DELHAIZE BOUGE
AD Delhaize Braine L'Alleud;AD Delhaize;affilie;Avenue Victor Hugo 3;1420;Braine-l'Alleud;wallonie;;;;;;;ADD-010;AD DELHAIZE BRAINE L'ALLEUD
AD Delhaize Burenville;AD Delhaize;affilie;Rue Saint-Nicolas 410;4000;Liège;wallonie;;;;;;;ADD-011;AD DELHAIZE BURENVILLE
AD Delhaize Chastre;AD Delhaize;affilie;Route Provinciale 98;1450;Chastre;wallonie;;;;;;;ADD-012;AD DELHAIZE CHASTRE
AD Delhaize Chatelineau;AD Delhaize;affilie;Rue des Mottards 130 bte 12;6200;Châtelineau;wallonie;;;;;;;ADD-013;AD DELHAIZE CHATELINEAU
AD Delhaize Chazal;AD Delhaize;affilie;Avenue Léon Mahillon 22;1030;Schaerbeek;bruxelles;;;;;;;ADD-014;AD DELHAIZE CHAZAL
AD Delhaize Diksmuide Ii;AD Delhaize;affilie;Kaaskerkestraat 82;8600;Diksmuide;flandre;;;;;;;ADD-015;AD DELHAIZE DIKSMUIDE II
AD Delhaize Dinant;AD Delhaize;affilie;Place du Cardinal Mercier 12;5500;Dinant;wallonie;;;;;;;ADD-016;AD DELHAIZE DINANT
AD Delhaize Eeklo -;AD Delhaize;affilie;Stationsstraat 19;9900;Eeklo;flandre;;;;;;;ADD-017;AD DELHAIZE EEKLO -
AD Delhaize Enghien;AD Delhaize;affilie;Square de la Dodane 1;7850;Enghien;wallonie;;;;;;;ADD-018;AD DELHAIZE ENGHIEN
AD Delhaize Epinois;AD Delhaize;affilie;Rue Saint-Fiacre 2;7134;Épinois;wallonie;;;;;;;ADD-019;AD DELHAIZE EPINOIS
AD Delhaize Fernelmont;AD Delhaize;affilie;Rue dEghezée 16;5380;Fernelmont;wallonie;;;;;;;ADD-020;AD DELHAIZE FERNELMONT
AD Delhaize Flagey;AD Delhaize;affilie;Rue de Hennin 18;1050;Ixelles;bruxelles;;;;;;;ADD-021;AD DELHAIZE FLAGEY
AD Delhaize Florenville;AD Delhaize;affilie;Rue dArlon 46;6820;Florenville;wallonie;;;;;;;ADD-022;AD DELHAIZE FLORENVILLE
AD Delhaize Forest;AD Delhaize;affilie;Chaussée de Neerstalle 8-12;1190;Forest;bruxelles;;;;;;;ADD-023;AD DELHAIZE FOREST
AD Delhaize Frasnes Lez Gosselies;AD Delhaize;affilie;Chaussée de Bruxelles 527;6250;Frasnes-lez-Gosselies;wallonie;;;;;;;ADD-024;AD DELHAIZE FRASNES LEZ GOSSELIES
AD Delhaize Gembloux;AD Delhaize;affilie;Chaussée de Wavre 42a;5030;Gembloux;wallonie;;;;;;;ADD-025;AD DELHAIZE GEMBLOUX
AD Delhaize Genappe;AD Delhaize;affilie;Chaussée de Bruxelles 4b;1470;Genappe;wallonie;;;;;;;ADD-026;AD DELHAIZE GENAPPE
AD Delhaize Gent Ster;AD Delhaize;affilie;Kortrijksesteenweg 906;9000;Gand;flandre;;;;;;;ADD-027;AD DELHAIZE GENT STER
AD Delhaize Gosselies;AD Delhaize;affilie;Avenue des États-Unis 40;6041;Gosselies;wallonie;;;;;;;ADD-028;AD DELHAIZE GOSSELIES
AD Delhaize Haacht;AD Delhaize;affilie;Markt 1;3150;Haacht;flandre;;;;;;;ADD-029;AD DELHAIZE HAACHT
AD Delhaize Hankar;AD Delhaize;affilie;Clos Lucien Outers 1;1160;Auderghem;bruxelles;;;;;;;ADD-030;AD DELHAIZE HANKAR
AD Delhaize Hornu;AD Delhaize;affilie;Rue de Mons 208;7301;Hornu;wallonie;;;;;;;ADD-031;AD DELHAIZE HORNU
AD Delhaize Hotton;AD Delhaize;affilie;Rue de la Scierie 9;6990;Hotton;wallonie;;;;;;;ADD-032;AD DELHAIZE HOTTON
AD Delhaize Incourt -;AD Delhaize;affilie;Chaussée de Namur 89;1315;Incourt;wallonie;;;;;;;ADD-033;AD DELHAIZE INCOURT -
AD Delhaize Jurbise;AD Delhaize;affilie;Route dAth 420;7050;Jurbise;wallonie;;;;;;;ADD-034;AD DELHAIZE JURBISE
AD Delhaize Keerbergen;AD Delhaize;affilie;Lindenstraat 1;3140;Keerbergen;flandre;;;;;;;ADD-035;AD DELHAIZE KEERBERGEN
AD Delhaize Lede;AD Delhaize;affilie;Wichelsesteenweg 192C;9340;Lede;flandre;;;;;;;ADD-036;AD DELHAIZE LEDE
AD Delhaize Ledeberg -;AD Delhaize;affilie;Driesstraat 96;9050;Ledeberg;flandre;;;;;;;ADD-037;AD DELHAIZE LEDEBERG -
