nom;enseigne;reseau;adresse;code_postal;ville;region;latitude;longitude;telephone;contact;ca_jrf;exercice;reference;libelle_excel
Intermarché Trooz;Intermarché;by_mestdagh;Grand'Rue 40;4870;Trooz;wallonie;;;;;;;ITM-042;INTERMARCHE TROOZ BY
Intermarché Wavre;Intermarché;by_mestdagh;Avenue des Princes 9;1300;Wavre;wallonie;;;;;;;ITM-043;INTERMARCHE WAVRE BY MESTDAGH
Intermarché Anderlues;Intermarché;independant;Rue Émile Vandervelde 16;6150;Anderlues;wallonie;;;;;;;ITM-044;INTERMARCHE ANDERLUES
Intermarché Anderlues 2 Capandere Sa;Intermarché;independant;Chaussée de Mons 225;6150;Anderlues;wallonie;;;;;;;ITM-045;INTERMARCHE ANDERLUES 2 CAPANDERE SA
Intermarché Anhee/holebo Sa;Intermarché;independant;Chaussée de Dinant 127;5537;Anhée;wallonie;;;;;;;ITM-046;INTERMARCHE ANHEE/HOLEBO SA
Intermarché Anthee;Intermarché;independant;Rue du Maréchal Franchet d'Esperey 2;5520;Anthée;wallonie;;;;;;;ITM-047;INTERMARCHE ANTHEE
Intermarché Assesse;Intermarché;independant;Rue Melville Wilson 3;5330;Assesse;wallonie;;;;;;;ITM-048;INTERMARCHE ASSESSE
Intermarché Binche;Intermarché;independant;Rue Zéphirin Fontaine 140;7130;Binche;wallonie;;;;;;;ITM-049;INTERMARCHE BINCHE
Intermarché Bois De Villers;Intermarché;independant;Rue Biname Bajart 1;5170;Bois-de-Villers;wallonie;;;;;;;ITM-050;INTERMARCHE BOIS DE VILLERS
Intermarché Boussu;Intermarché;independant;Rue des Chaufours 19;7300;Boussu;wallonie;;;;;;;ITM-051;INTERMARCHE BOUSSU
Intermarché Court-Saint-Etienne;Intermarché;independant;Place Baudouin 1er 12;1490;Court-Saint-Étienne;wallonie;;;;;;;ITM-052;INTERMARCHE COURT-SAINT-ETIENNE
Intermarché Fleurus;Intermarché;independant;Chaussée de Charleroi 787;6220;Fleurus;wallonie;;;;;;;ITM-053;INTERMARCHE FLEURUS
Intermarché Forchies;Intermarché;independant;Rue Chaussée 229;6141;Forchies-la-Marche;wallonie;;;;;;;ITM-054;INTERMARCHE FORCHIES
Intermarché Frameries;Intermarché;independant;Route Nationale 29;7080;Frameries;wallonie;;;;;;;ITM-055;INTERMARCHE FRAMERIES
Intermarché Frasnes Lez Anvaing;Intermarché;independant;Route dHacquegnies 53;7910;Frasnes-lez-Anvaing;wallonie;;;;;;;ITM-056;INTERMARCHE FRASNES LEZ ANVAING
